state,year,month,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,Coal,Solar,Total Generation,Wind
Kerala,2024,6,28.638666666666666,26.13266666666667,88.76233333333333,258.88,0.0,82.145,921.06,8.61
Kerala,2024,7,27.940967741935484,25.46322580645161,90.65354838709676,204.44,0.0,52.45,1040.33,11.515
Kerala,2024,8,27.578064516129032,25.145806451612906,90.40483870967742,191.35,0.0,57.425,1129.29,7.6
Kerala,2024,9,28.46,25.630666666666663,88.517,123.6,0.0,73.72500000000001,975.3,10.175
Kerala,2024,10,28.323870967741936,25.68516129032258,87.02870967741936,279.92,0.0,81.525,750.43,2.6
Kerala,2024,11,28.943666666666665,25.279666666666667,82.473,171.35,0.0,77.315,659.0,2.3000000000000003
Kerala,2024,12,29.23935483870968,24.84032258064516,80.9767741935484,74.42999999999999,0.0,81.88499999999999,565.37,3.625
Kerala,2025,1,29.37,23.71,80.02,0.1,0.0,91.34,617.85,5.444999999999999
Madhya Pradesh,2024,1,25.99516129032258,9.98258064516129,55.36838709677419,13.03,6870.385,145.66500000000002,14686.28,85.395
Madhya Pradesh,2024,2,30.04310344827586,13.305172413793104,38.53689655172413,7.38,5841.615,199.355,12848.99,204.35
Madhya Pradesh,2024,3,34.92709677419355,17.144193548387097,27.941290322580645,6.27,6591.1900000000005,324.18,14474.03,215.48
Madhya Pradesh,2024,4,37.56133333333333,22.804666666666662,36.04766666666667,45.37,6654.33,242.745,14595.83,221.39
Madhya Pradesh,2024,5,42.40870967741936,28.02935483870968,25.35290322580645,9.72,6782.6,275.84000000000003,15264.25,300.33
Madhya Pradesh,2024,6,38.45766666666667,28.353,49.73633333333333,166.86,6529.685,250.44,14410.6,248.11
Madhya Pradesh,2024,7,31.27225806451613,24.76483870967742,84.13548387096773,520.41,5579.24,196.59,12434.19,266.925
Madhya Pradesh,2024,8,29.13225806451613,23.4158064516129,88.88516129032259,431.63,5184.52,210.59,12695.95,277.065
Madhya Pradesh,2024,9,29.37066666666667,23.147666666666662,88.80066666666667,225.5,5292.855,220.9,12810.14,190.545
Madhya Pradesh,2024,10,29.583870967741937,19.988709677419354,78.34806451612903,19.72,6014.11,327.255,13556.47,100.31
Madhya Pradesh,2024,11,26.822,13.516333333333334,68.98366666666666,0.0,6253.96,326.595,13729.95,80.80999999999999
Madhya Pradesh,2024,12,25.104193548387094,9.598387096774196,63.64677419354839,29.28,6090.155,318.235,13649.15,178.54000000000002
Madhya Pradesh,2025,1,24.05,7.24,62.27,0.0,6395.285,370.58,14327.55,144.665
Maharashtra,2024,1,32.266774193548386,17.431290322580644,52.87354838709677,1.07,5876.8150000000005,253.805,14770.05,175.455
Maharashtra,2024,2,35.69344827586207,19.409310344827585,43.19862068965517,0.2299999999999999,5860.03,278.815,14418.59,159.14
Maharashtra,2024,3,37.63451612903226,21.45451612903226,45.03387096774193,2.08,6100.23,315.01,15302.0,223.115
Maharashtra,2024,4,40.65533333333334,25.58133333333333,48.16133333333333,3.33,6224.884999999999,301.40000000000003,15616.8,225.63
Maharashtra,2024,5,39.230645161290326,27.173548387096773,59.85645161290322,39.73,6234.679999999999,318.11,16239.62,392.12
Maharashtra,2024,6,32.83166666666667,27.02433333333333,79.59133333333334,414.57,5515.935,260.075,14130.5,463.7
Maharashtra,2024,7,28.69935483870968,25.763870967741934,91.34354838709676,1361.02,4985.74,201.805,13749.03,830.64
Maharashtra,2024,8,29.020967741935483,25.17129032258065,90.73354838709676,629.17,4930.27,278.95,13384.01,535.03
Maharashtra,2024,9,29.031,24.51066666666667,89.47933333333334,480.5100000000001,4970.805,267.11,13048.59,353.075
Maharashtra,2024,10,31.55354838709677,23.686451612903223,83.52064516129032,194.78,5274.304999999999,344.935,13371.51,266.345
Maharashtra,2024,11,30.380333333333333,18.446,72.04133333333333,0.5900000000000001,5204.395,355.83,13089.62,187.78
